Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0805_2012Metric,130.75,-112.6,-90,top
C2,220n,C_0805_2012Metric,112.55,-97.649897,-90,top
C3,220n,C_0805_2012Metric,112.55,-101.819794,-90,top
C4,220n,C_0805_2012Metric,112.55,-105.989691,-90,top
C5,220n,C_0805_2012Metric,112.55,-110.159588,-90,top
C6,220n,C_0805_2012Metric,112.55,-114.329485,-90,top
C7,220n,C_0805_2012Metric,112.55,-118.499382,-90,top
C8,220n,C_0805_2012Metric,112.55,-89.3,-90,top
C9,220n,C_0805_2012Metric,112.55,-126.839176,-90,top
C10,220n,C_0805_2012Metric,112.55,-131,-90,top
C11,220n,C_0805_2012Metric,112.55,-135.2,-90,top
C12,220n,C_0805_2012Metric,112.55,-85.140206,-90,top
C13,220n,C_0805_2012Metric,112.55,-93.48,-90,top
C14,100n,C_0603_1608Metric,155.6,-130.3,180,top
C15,15p,C_0603_1608Metric,152.35,-127.3,-90,top
C16,15p,C_0603_1608Metric,151.35,-120.3,0,top
C17,100n,C_0603_1608Metric,151.35,-118.6,0,top
C18,1u,C_0603_1608Metric,151.35,-117.1,0,top
C19,100n,C_0603_1608Metric,144.85,-113.5,90,top
C20,100n,C_0603_1608Metric,134.55,-117.3,180,top
C21,100n,C_0603_1608Metric,133.55,-129.1,180,top
C22,100n,C_0603_1608Metric,149.25,-129.1,0,top
C23,4u7,C_0603_1608Metric,149.25,-130.7,0,top
C24,220n,C_0805_2012Metric,112.55,-122.669279,-90,top
C25,1u,C_0603_1608Metric,130.05,-96,180,top
C26,10n,C_0603_1608Metric,138.35,-93.4,-90,top
C27,10n,C_0805_2012Metric,136.35,-89.5,90,top
C28,100n,C_0805_2012Metric,126.15,-89.1,-90,top
C29,100n,C_0603_1608Metric,122.05,-121,90,top
C30,2u2,C_0603_1608Metric,130.05,-135.4,90,top
C31,10u,C_0805_2012Metric,132.85,-102,-90,top
C32,2u2,C_0603_1608Metric,139.65,-136.9,90,top
C33,1u,C_0805_2012Metric,136.85,-106.3,-90,top
C34,1u,C_0805_2012Metric,136.85,-112.65,-90,top
C35,2n2,C_0603_1608Metric,156.25,-100.6,-90,top
C36,22u,C_0805_2012Metric,151.05,-104.1,-90,top
C37,56p,C_0805_2012Metric,153.45,-84.5,0,top
C38,10u,C_0805_2012Metric,132.85,-106.3,-90,top
C39,10u,C_0805_2012Metric,134.85,-112.65,-90,top
C40,10u,C_0805_2012Metric,118.15,-126.9,-90,top
C41,220n,C_0805_2012Metric,112.55,-80.970309,-90,top
C42,220n,C_0805_2012Metric,112.55,-76.800412,-90,top
C43,470p,C_0805_2012Metric,125.95,-121.2,-90,top
C44,4u7,C_0805_2012Metric,132.75,-112.6,-90,top
C45,4u7,C_0805_2012Metric,126.85,-102,90,top
C46,1u,C_0805_2012Metric,130.85,-102,90,top
C47,4u7,C_0805_2012Metric,126.85,-106.3,90,top
C48,1u,C_0805_2012Metric,130.85,-106.3,90,top
C49,4u7,C_0805_2012Metric,126.6,-112.6,90,top
C50,2n2,C_0603_1608Metric,147.25,-92.1,-90,top
C51,220n,C_0805_2012Metric,116.3,-131.7,90,top
C52,2u2/100V,C_1206_3216Metric,156.7625,-92.6,-90,top
C53,22u,C_0805_2012Metric,148.65,-104.1,-90,top
C54,10u,C_0805_2012Metric,142.65,-88.6,180,top
C55,10u,C_0805_2012Metric,142.65,-95.8,0,top
D1,~,D_SOD-323_HandSoldering,106.75,-97.549897,-90,top
D2,RED,LED_0805_2012Metric,102.95,-97.669897,-90,top
D3,~,D_SOD-323_HandSoldering,106.75,-101.719794,-90,top
D4,RED,LED_0805_2012Metric,102.95,-101.839794,-90,top
D5,~,D_SOD-323_HandSoldering,106.75,-105.889691,-90,top
D6,RED,LED_0805_2012Metric,102.95,-106.009691,-90,top
D7,~,D_SOD-323_HandSoldering,106.75,-110.059588,-90,top
D8,RED,LED_0805_2012Metric,102.95,-110.179588,-90,top
D9,~,D_SOD-323_HandSoldering,106.75,-114.229485,-90,top
D10,RED,LED_0805_2012Metric,102.95,-114.349485,-90,top
D11,~,D_SOD-323_HandSoldering,106.75,-118.399382,-90,top
D12,RED,LED_0805_2012Metric,102.95,-118.519382,-90,top
D13,~,D_SOD-323_HandSoldering,106.75,-89.2,-90,top
D14,RED,LED_0805_2012Metric,102.95,-89.32,-90,top
D15,~,D_SOD-323_HandSoldering,106.75,-126.739176,-90,top
D16,RED,LED_0805_2012Metric,102.95,-126.859176,-90,top
D17,~,D_SOD-323_HandSoldering,106.75,-130.909073,-90,top
D18,RED,LED_0805_2012Metric,102.95,-131.029073,-90,top
D19,~,D_SOD-323_HandSoldering,106.75,-135.1,-90,top
D20,RED,LED_0805_2012Metric,102.95,-135.2,-90,top
D21,~,D_SOD-323_HandSoldering,106.75,-85.040206,-90,top
D22,RED,LED_0805_2012Metric,102.95,-85.160206,-90,top
D23,~,D_SOD-323_HandSoldering,106.75,-93.38,-90,top
D24,RED,LED_0805_2012Metric,102.95,-93.5,-90,top
D25,RED,LED_0805_2012Metric,150.85,-109.7,-90,top
D26,GREEN,LED_0805_2012Metric,148.75,-109.7,-90,top
D27,~,D_SOD-323_HandSoldering,106.75,-122.569279,-90,top
D28,RED,LED_0805_2012Metric,102.95,-122.689279,-90,top
D29,100V,D_SOD-123,125.85,-95.7,90,top
D30,D,D_SOD-323_HandSoldering,138.85,-112.45,-90,top
